id	text	labels
PMC1764756_6	"At admission, in all the patients full haemogram, serum biochemistry; urine analysis were performed. Sputum and blood culture examination were performed to identify the etiological cause. Other diagnostic investigations related to the co-morbid illnesses and for monitoring the treatment were performed where they were required. Depending upon the clinical condition of the patient, bed side portable or postero-anterior view chest radiograph were performed at admission. In all the patients, 12-lead electrocardiogram (ECG) and echocardiography were performed within 24 hours of admission after initial stabilisation. Cor-pulmonale was diagnosed if there was ECG (p-pulmonale; right axis deviation; right ventricular hypertrophy) and echocardiographic evidence of right ventricular hypertrophy/dilatation. Two ml of heparinised blood sample was procured for arterial blood gas (ABG) analysis from the radial artery and was transported to the laboratory immediately for processing. ABG analysis was done using AVL Compact 2 (Radiometer, Denmark) analyzer.
"	HP_0001714;HP_0001648;HP_0001667
PMC1764756_7	"Oxygen was administered through a standard dual-prong nasal cannula or face mask. When hypercapnia was a concern, oxygen was delivered through a Venturi mask (maintaining a fixed ratio of oxygen to room air). The oxygen therapy was guided by the ABG report and oxygen saturation (SaO2) measured using a pulse oximeter. Initially, salbutamol (as frequently as 5 mg every 15 minutes to every 8 hours) and ipratropium bromide (as frequently as 0.5 mg every 15 minutes to 0.5 mg every 8 hours) were administered through an ultrasonic nebuliser. If the aerosol therapy proved inadequate, intravenous aminophylline was administered using a constant volume infusion pump. They received injectable corticosteroids (hydrocortisone/methyl prednisolone) for 72 hours following which oral prednisolone was administered in a dosage 0.75 mg/kg body weight for a subsequent period of seven more days. Pharmacological treatment was optimized based on the clinical response. Empirical antibiotic treatment was initiated as appropriate in 104 patients (89.6%) and the antibiotic choice was further modified basing on the culture and sensitivity report.
"	HP_0012416
PMC1764756_8	"Criteria for intubation were not standardized, and noninvasive ventilation was infrequently utilized at our hospital during the period of study. Endotracheal intubation and assisted mechanical ventilation were initiated when pharmacologic and other non-ventilatory treatments failed to reverse clinically significant respiratory failure. Indications for initiating invasive mechanical ventilation included any of the following: severe dyspnea with use of accessory muscles and paradoxical abdominal motion;. severe acidosis (pH < 7.25) and hypercapnia (PaCO2 > 60 mmHg); life-threatening hypoxaemia [arterial oxygen tension (PaO2)/inspiratory oxygen fraction (FIO2) < 200 mmHg)]; tachypnoea (>35 breaths/min); respiratory arrest; somnolence, impaired mental status; presence of co-morbid illness; and presence of other complications. The associated co-morbid illnesses were monitored and treated appropriately. Criteria for discharge from hospital included patients clinically and ABG wise stable for 24 hours; inhaled 2-agonist therapy is required no more frequently than every 4 hours; patient is able to eat and sleep without frequent awakening by dyspnea [1].
"	HP_0012418;HP_0012416;HP_0002094;HP_0002098;HP_0002878;HP_0002789;HP_0001262;HP_0005943;HP_0012828
PMC1764756_9	"Variables following normal distribution were summarized by mean and standard deviation. The association between two categorical variables was evaluated by 2 test or Fisher's exact test as appropriate. Student's 't' test (for normally distributed variables) was used to compare the difference in mean values in the two groups for quantitative variables. To determine various predictors of death following hospitalization for AE-COPD, the analysis was performed in two stages. For this purpose the quantitative variables were categorized. Variables showing statistically significant association with the outcome (death during in-hospital stay) at p < 0.20, were considered as candidate variables for inclusion in the multivariate model. Stepwise multivariate logistic regression was performed with the potential candidate variables as the co-variates. SYSTAT version 7.0 (SPSS Inc., Chicago, USA) was used for data analysis. All the statistical tests performed were two tailed; p < 0.05 was considered as statistically significant.
"	HP_0006510
PMC2528206_0	"Provision of good quality end of life care has become a healthcare priority over the last decade. Medical advances and demographic trends mean that the proportion of people living with serious chronic conditions into old age is increasing rapidly. In the USA in 1997, the Institute of Medicine report Approaching Death: Improving Care at the End of Life concluded that the timing appears right to press for a vigorous societal commitment to improve care at the end of life (Field and Cassel 1997).
"	
PMC2528206_1	"End of life care aims to optimise the quality of life of patients with advanced, incurable disease (Figure 1). Its principles are the same as those of palliative care, which developed in the UK in the 1960s in response to the needs of terminally ill cancer patients. With increasing recognition that those with incurable non-malignant disease also have extensive palliative care needs, specialist palliative care services are attempting to provide needs-based rather than diagnosis-based care (Addington-Hall 1998). In practice, limited resources mean that only those with the most complex needs receive specialist palliative care input. In the UK, approximately 20% of those that die have contact with specialist palliative care services, of which over 90% have malignant disease (NCPC 2006).
"	
PMC2528206_10	"Gore et al (2000) studied 50 patients with an FEV <0.75l and at least one previous admission with hypercapnic respiratory failure, and also found evidence of a low quality of life. Interestingly, the study also included 50 patients with inoperable non-small cell lung cancer and found, using a generic quality of life measure, a significantly worse quality of life in the COPD patients than in those with cancer. These data should, however, be interpreted with a degree of caution as the two study populations were atypical in sex distribution and disease severity (Hill and Muers 2000).
"	HP_0006510
PMC2528206_100	"COPD is the fourth commonest cause of death worldwide. There is strong evidence that these patients have a particularly poor quality of life in the end of life phase, due to uncontrolled symptoms, psychological morbidity, social isolation and unmet information and communication needs. Traditionally, the palliative care approach has focused on the needs of cancer patients. All patients, however, deserve good quality end of life care, irrespective of diagnosis. Mixed management models where active disease-modifying treatments are combined with palliative care interventions show great promise. Chest physicians and respiratory nurse specialists have a vital role in ensuring that the care of patients dying from COPD improves to the level of the best. As stated by Hansen-Flaschen (2004), Death is not a failure, but an opportunity to practice a form of professional care that is as old as medicine, and as gratifying as any other services we offer.
"	HP_0006510
PMC2528206_11	"There are many factors contributing to the poor quality of life suffered by patient with COPD. The symptom burden is considerable. Studies based on post-bereavement interviews show that over 90% of patients are breathless in the last year of life, and in nearly half of these the breathlessness is unrelieved by treatment (Edmonds et al 2001). Skilbeck et al (1998) found that 95% of a cohort of patients that had been admitted with an exacerbation of COPD in the preceding 6 months were experiencing severe breathlessness, defined as very much on a four point intensity scale ranging from not at all to very much. Other symptoms were strikingly prevalent, including pain (68%), fatigue (68%) and insomnia (55%). Psychological morbidity is also high in COPD. Gore et al (2000) found that 90% of patients had clinically relevant anxiety or depression. Overall, there can be no doubt that the physical and psychological symptom burden from advanced COPD is at least as severe as that from other incurable diseases. Indeed, in a recent systematic review, Solano et al (2006) found that breathlessness, fatigue and anxiety occur more commonly in COPD than in advanced cancer, heart disease or renal disease (Table 1).
"	HP_0006510;HP_0000716;HP_0000077;HP_0000112;HP_0100785;HP_0012378;HP_0012531;HP_0002094;HP_0002098;HP_0012828
PMC2528206_12	"Symptom prevalence in advanced COPD (Solano et al 2006)
"	HP_0006510
PMC2528206_16	"Arguably the greatest challenge to provision of EOL care in COPD is the unpredictable disease trajectory (Figure 2). The disease trajectory in COPD is typically that of a slow decline, punctuated by dramatic exacerbations that often end in unexpected death (Lunney et al 2003; Murray et al 2005). This contrasts with that of cancer, where there is often maintenance of good function until a short period of relatively predictable decline in the last weeks or months of life. COPD is particularly unpredictable as it progresses at a highly variable rate. Exacerbations causing respiratory failure occur suddenly and unpredictably, and the outcome of those exacerbations is often determined by last-minute decisions regarding life support.
"	HP_0006510;HP_0002878
PMC2528206_17	"Typical disease trajectories for progressive chronic illness. (a) Long-term limitation with intermittent acute episodes eg COPD. (b) Prolonged dwindling eg dementia. (c) Short period of decline eg cancer. (Adapted from Murray et al with permission from BMJ Publishing Group Ltd.).
"	HP_0006510;HP_0000726
PMC2528206_18	"This disease trajectory has two important implications. First, it causes significant prognostication difficulties. Only dementia has been found to have a more uncertain prognosis than COPD (Hansen-Flaschen 2004). How can good EOL care be provided when it is not clear that the end of life is approaching? Until recently there has been little evidence-based information available to help determine the prognosis in advanced COPD. Commonly used prognostic criteria, including measures of air-flow limitation such as FEV1, degree of hypoxia, complications such as cor-pulmonale and recent hospitalisation requiring ventilation, have all been found to be unreliable (Fox et al 1999; Domingo-Salvany et al 2002; Nishimura et al 2002; Coventry et al 2005).
"	HP_0001648;HP_0006510;HP_0000726
PMC2528206_19	"Second, unexpected death at the time of an acute exacerbation generates significant communication challenges. It is usually only possible to discover patients end of life preferences if these have been established in advance. Such advance care planning is often inadequate, making it harder to conform to patients wishes and provide appropriate EOL care.
"	HP_0011009
PMC2528206_20	"Another important barrier to end of life care is that misconceptions about both COPD and palliative care abound. It is sobering that patients and caregivers generally fail to appreciate that COPD is a life-threatening disease that results in an inexorable decline in health status and function (Lynn et al 2000). Good EOL care is impossible without recognition that death may occur prematurely. The appreciation amongst patients that COPD is often a self-inflicted disease lead some to believe that they are not eligible or deserving of measures to improve quality of life. The practice of palliative care is also misunderstood. In our death-denying culture, embarking on a palliative approach can be misconstrued as evidence of failure or giving up (Croft 2005). Patients and professionals often still expect a dichotomous model of care moving from disease modification to palliation, when this has long been superseded by a mixed model of care combining both approaches.
"	HP_0006510
PMC2528206_21	"Resource limitations are a significant impediment to the delivery of effective EOL care (Traue and Ross 2005). Even for cancer patients, the historical focus of palliative care, palliative care provision is not uniform, and patients needs are not always being met. Improving the palliation of COPD has significant implications for funding, manpower and education. Palliative care specialists are not always well informed about the management of non-malignant disease and respiratory specialists require training in the skills of palliation.
"	HP_0006510
PMC2528206_22	"Finally, it is increasingly recognised that a lack of research evidence on end of life care is hindering service development (Field and Cassel 1997). Research in this vulnerable patient group is beset by significant ethical and methodological challenges (Lawton 2001; Addington-Hall 2002; Kendall et al 2007). These include difficulties in gaining informed consent, poor recruitment rates and high attrition rates.
"	
PMC2528206_23	"Clearly, the route to improving the quality of EOL provision for COPD patients lies in overcoming these barriers. Challenges caused by the unpredictable disease trajectory can be overcome with improved HCP prognostication and communication skills. Resource limitations can be compensated for by careful evidence-based service development, using existing resources to provide cost-effective interventions. Generalist palliative care education, advance care planning and service development must each be improved in order to enhance the quality of EOL care received by those with COPD. The remainder of this review will provide an evidence-based analysis of aspects of each of these important topics.
"	HP_0006510
PMC2528206_24	"The end of life needs of patients with COPD are at least as great as, if not greater than, those suffering from advanced lung cancer.
"	HP_0006510
PMC2528206_26	"Prognostication difficulties, resource limitations and inadequate research evidence to support service development are the principle barriers to the provision of good end of life care.
"	
PMC2528206_27	"In landmark research, Steinhauser et al (2000a, 2000b) used qualitative methods to generate descriptors of the components of end of life care considered most important by patients, carers and healthcare professionals, and subsequently tested these for generalizability in a national survey. The greatest concern of patients and carers was to avoid dying in distress with uncontrolled symptoms.
"	
PMC2528206_28	"Why do patients with advanced COPD suffer from uncontrolled symptoms? Healthcare professionals may be hesitant about proactively managing symptoms, in part, due to concerns about adverse effects of pharmacological interventions, such as respiratory depression from opioids or anxiolytics. There may be an element of therapeutic nihilism, believing that symptoms such as fatigue cannot be ameliorated. Good generalist palliative care education, providing an evidence-based approach to symptom management, is the key.
"	HP_0002791;HP_0005952;HP_0006510;HP_0012378
PMC2528206_3	"Care for those approaching the end of life therefore cannot be, and indeed should not be, simply the domain of palliative care specialists. All healthcare professionals should be able to provide good quality generalist palliative care for their patients (NHS Executive 1996). The relative neglect of end of life care until recently may be due, in part, to death being viewed as a failure in medical care, rather than inevitable (Middlewood et al 2001). It is a duty and privilege to be able to provide compassionate and effective care from diagnosis to death.
"	
PMC2528206_30	"The multidimensional pathophysiology of dyspnea gives scope to a wide range of potential palliative interventions. Interventions that reduce ventilatory demand include oxygen therapy and exercise training (Swinburn et al 1984). Impairment of ventilation may be helped by breathing techniques that improve respiratory muscle function, and oxygen therapy which can reduce dynamic hyperinflation (Somfay et al 2001). The central perception of dyspnea can be modified by pharmacological interventions such as opioids and anxiolytics, and by non-pharmacological measures such as education, psychological support and behavioral interventions. Which of these approaches are of use in the last weeks and months of life?
"	HP_0002094;HP_0002098
PMC2528206_31	"The use of long-term oxygen therapy (LTOT), involving continuous use of oxygen for 15 or more hours each day is well established in severely hypoxic patients with COPD (PaO2 less than 7.3 kPa), as two landmark trials have shown that oxygen for 15 or more hours per day improves survival (NOTT group 1980; MRC Working Party 1981). As well as giving benefit in terms of survival, LTOT appears to enhance quality of life in severely hypoxic patients. Eaton et al (2004) have examined the effect of LTOT on health-related quality of life (HRQL) and found significantly improvements in HRQL and dyspnoea scores at 2 months and 6 months relative to a comparison group that did not qualify for LTOT. The two patient groups were well matched in all variables other than the greater degree of hypoxia in the LTOT group.
"	HP_0006510;HP_0002094;HP_0002098;HP_0012828;HP_0005957
PMC2528206_32	"We have previously systematically reviewed the role of short-burst oxygen therapy (SBOT) in palliating breathlessness in patients with COPD (Booth et al 2004). From examination of all studies included in the original review and three studies published subsequently (Lewis et al 2003; Nandi et al 2003; Stevenson and Calverley 2004), it is clear that there are little data to support the use of SBOT at rest, including before or after exercise. SBOT during exercise does, however, appear to be of greater value. Out of nineteen controlled single assessment studies that recorded dyspnoea scores at isotime, all but one revealed significant relief of dyspnoea when exercising with oxygen.
"	HP_0006510;HP_0002094;HP_0002098
PMC2528206_33	"It cannot, of course, be assumed that acute responders who gain benefit from oxygen in experimental conditions will also benefit when oxygen is used over a longer time period at home. Just four controlled studies have examined the effect of SBOT on breathlessness when used at home during activities of daily living. Two studies, both included in our original review, examined quality of life in patients randomized to receive either home oxygen or air over a 12 week period. Eaton et al (2002), using a study population with significant exercise desaturation and providing light oxygen cylinders, did find an improvement in quality of life in patients who had been receiving oxygen. Interestingly, 41% of patients who had had a response to oxygen declined to use it after the study, citing poor acceptability or tolerability. McDonald et al (1995) recruited patients who desaturated less on exercise and supplied heavier oxygen cylinders; they found no improvement in quality of life. In a more recent study, Eaton et al (2006) randomized 78 patients discharged after an acute exacerbation to cylinder oxygen, cylinder air or usual care. There were no significant differences between the groups in quality of life, breathlessness or acute healthcare utilization. Nonoyama et al (2007), in an interesting study incorporating multiple N-of-1 RCTs for each of 27 patients, also found no evidence to support the use of long-term ambulatory oxygen therapy for patients who do not qualify for LTOT.
"	HP_0002094;HP_0002098;HP_0011009
PMC2528206_34	"Importantly, no studies have been able to find factors that can predict which patients are likely to experience symptom relief from supplemental oxygen. Furthermore, Eaton et al (2002) found that an acute response to oxygen did not predict those that would benefit when using longer-term oxygen. Response to oxygen does not correlate with the extent of dyspnea at rest, level of hypoxemia at rest, degree of desaturation on exercise, or any tests of lung function. The response to oxygen is extremely variable between individuals, although more reproducible on an individual level (Waterhouse and Howard 1983). The only way to select the patients who will benefit from oxygen therapy is to undertake an individual clinical assessment. At its most rigorous, the undertaking an N-of-1 RCT has been described and recommended (Bruera et al 1992; Uronis et al 2006).
"	HP_0002094;HP_0002098;HP_0012418
PMC2528206_35	"The burdens of oxygen therapy are considerable (Spathis et al 2006). A degree of psychological dependence is inevitable, and some patients become acutely anxious during even a short interruption in oxygen supply. Cumbersome, heavy equipment may restrict movement and activities within the home and limit excursions outside. Use of an oxygen mask may impair communication between a patient and family. Some patients feel a sense of social stigma and embarrassment, which may further hinder interaction and lead to isolation. Other issues include its combustibility, its considerable cost being, and the uncomfortable drying of airways including the nasal mucosa.
"	
PMC2528206_36	"Overall, therefore, there is little evidence to support the use of oxygen in palliating dyspnea. Although single assessment studies appear to show benefit from oxygen during exercise, these findings are not reproduced when oxygen is used longer-term during activities of daily living. Despite this lack of evidence of benefit, breathless patients approaching the end of life are often commenced on oxygen. Abernethy et al (2005) found in an email survey that 58% of surveyed palliative care and respiratory physicians believe that patients benefit from palliative oxygen. Given the negative aspects of oxygen therapy, it is likely that during end of life care, the burdens of oxygen therapy may well outweigh the benefits in a significant proportion of patients.
"	HP_0002094;HP_0002098
PMC2528206_37	"Withdrawal of oxygen therapy is, of course, not easy. It can cause distress, feelings of abandonment and fear that life may be shortened. Through careful and sensitive communication, patients may be helped to understand the lack of evidence for benefit from SOBT, the inevitable development of psychological dependence, the burdens of oxygen therapy and the lack of selection criteria to determine who may benefit. With individual clinical assessment, the few individuals who may benefit from SBOT can be identified.
"	
PMC2528206_38	"There is good evidence that exercise is one of the most successful non-pharmacological approaches to managing breathlessness. Reconditioning is central to the benefit provided by pulmonary rehabilitation programs (Lacasse et al 2006). In the end of life phase capacity for exercise reduces, and the four most common approaches are use of a fan, energy conserving measures, breathing techniques and relaxation strategies.
"	
PMC2528206_39	"The flow of cool air through the nose, mouth or over the cheek can reduce the perception of dyspnea (Schwartzstein et al 1987; Liss and Grant 1988). It is believed that stimulation of nasal or pharyngeal mucosal receptors or facial receptors in the region of the trigeminal nerve leads to afferent information being projected to the sensory cortex where it alters the central perception of dyspnea. There is extensive anecdotal evidence that patients find benefit from use of a fan, or from standing by an open window. Even with end-stage disease, patients find a small hand-held fan easy to use. It is a cheap piece of equipment that, unlike use of oxygen does not draw untoward attention to its user, and has no adverse effects. Interestingly, Booth et al (1996), in a study of cancer patients who were breathless at rest, found that both cylinder air and cylinder oxygen improve breathlessness, without there being a statistically significant difference between them. It may be that some of the benefit that patients perceive from oxygen may simply be due to it being a flow of cool gas. There is, to date, only a small amount of research evidence examining the use of a fan (Booth et al 2006); further studies are known to be underway.
"	HP_0002094;HP_0002098
PMC2528206_4	"The challenge for providers of generalist palliative care is particularly great when caring for those with advanced chronic obstructive pulmonary disease (COPD). COPD is the fourth leading cause of mortality worldwide, and compared to chronic cardiovascular and cerebrovascular disease, mortality from COPD continues to rise (NIH 2003; WHO 2003). Its sufferers have extensive end of life needs. Death tends to occur after a prolonged functional decline associated with a heavy symptom load, emotional distress and social isolation. The quality of life of COPD patients appears to be at least as poor, and indeed may be worse than that of patients with lung cancer (Gore et al 2000; Edmonds et al 2001). There is a growing body of evidence that existing service provision is unable to meet these needs (Heffner et al 1996; Claessens et al 2000; Jones et al 2004; Elkington et al 2005; Au et al 2006). The emphasis appears to be on reactive crisis intervention at the time of acute exacerbations, rather than continual supportive care (Skilbeck et al 1998).
"	HP_0006536;HP_0006510;HP_0011009;HP_0011010;HP_0004438
PMC2528206_41	"Breathing techniques improve the mechanical efficiency of respiration. They also lower the demand for ventilation by reducing dynamic hyperinflation, which in turn increases tidal volume and improves carbon dioxide elimination (Belman et al 1996; ODonnell et al 2001). The aim of these techniques is to reduce respiratory rate and prolong expiration, while using a gently leaning forward posture that improves the mechanical efficiency of the diaphragm. Several studies confirm the benefit of pursed-lips breathing on dyspnea (Tiep et al 1986; Breslin 1992). Several step-by-step exercises to alter breathing rhythm have been published (Gallo-Silver and Pollack 2000). Counting during the respiratory cycle has been advocated, such as a count of 4 during inhalation, of 7 during exhalation and a count to 2 before recommencing inhalation. Such breathing patterns need practice until they become unconscious and automatic. It is hard to learn such techniques close to the end of life, and is therefore important to teach patients early.
"	HP_0002094;HP_0002098
